"Event Name","Start Date","End Date",Country,State,City,Venue,"Region 1","Region 2","Region 3",Contacts,URL,URL2,URL3,Sponsorship,Stakeholders,Type
"IBM Pulse 2012",2012-03-04,2012-03-07,USA,Nevada,"Las Vegas","MGM Grand Hotel",,,,,http://www-01.ibm.com/software/tivoli/pulse/,,,,,
"Cisco Live! - APJ 2012",2012-03-20,2012-03-23,Australia,,Melbourne,"Melbourne Convention & Exhibition Centre",,,,,http://www.cisco.com/web/ANZ/cisco-live/index.html,,,,,
"EclipseCon 2012",2012-03-26,2012-03-29,USA,Virginia,Reston,"Hyatt Regency Reston",,,,,http://www.eclipsecon.org/2012/,,,,,
"SAS Global Forum 2012",2012-04-22,2012-04-25,USA,Florida,Orlando,"Walt Disney World Swan and Dolphin Resort",,,,,http://support.sas.com/events/sasglobalforum/2012/,,,,,
"Interop Las Vegas 2012",2012-05-06,2012-05-10,USA,Nevada,"Las Vegas","Mandalay Bay Convention Center","NORTH AMERICA",,,,http://www.interop.com/lasvegas/,,,,Storage,"Industry Event"
DISA,2012-05-07,2012-05-10,USA,Florida,Tampa,"Tampa Convention Center","NORTH AMERICA",,,,http://www.disa.mil/News/Conferences-and-Events/DISA-Mission-Partner-Conference-2012,,,,"Public Sector","Industry Event"
"Citrix Synergy 2012",2012-05-09,2012-05-11,USA,California,"San Francisco","Moscone Center",,,,,http://www.citrixsynergy.com/sanfrancisco/index.html,,,,,
"SAP Sapphire & ASUG 2012",2012-05-14,2012-05-16,USA,Florida,Orlando,"Orange County Convention Center","NORTH AMERICA",,,,http://www.sapandasug.com/,,,,"Middleware,Platform,Virtualization","Industry Event"
"Uptime Institute Symposium 2012",2012-05-14,2012-05-17,USA,California,"Santa Clara","Santa Clara Convention Center","NORTH AMERICA",,,,http://symposium.uptimeinstitute.com/,,,,Storage,"Industry Event"
"Joint Warfighting Conference",2012-05-15,2012-05-17,USA,Virginia,"Virginia Beach","Virginia Beach Conference Center","NORTH AMERICA",,,,http://www.afcea.org/events/jwc/12/intro.asp,,,,"Public Sector","Industry Event"
"OSBC 2012",2012-05-21,2012-05-22,USA,California,"San Francisco","Hyatt Regency San Francisco",,,,,http://www.osbc.com,,,,"Middleware,Platform,Virtualization","Industry Event"
"BriForum London 2012",2012-05-22,2012-05-24,"United Kingdom",,London,"etc venues St. Paul's Conference Center",,,,,http://briforum.com/Europe/index.html,,,,,
"HP Discover US 2012",2012-06-04,2012-06-07,USA,Nevada,"Las Vegas","The Venetian","NORTH AMERICA",,,,https://h30406.www3.hp.com/campaigns/2012/events/discover/index.php,,,,,"Red Hat Partner Event"
"Solution Provider 500",2012-06-05,2012-06-06,USA,"North Carolina",Charlotte,"Westin Charlotte Hotel",,,,,,,,,"Field Marketing","Industry Event"
